inputSize  ExecutionTime (microseconds)
10         0
10         1
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         1
10         0
10         1
10         1
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         1
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         0
10         1
10         1
10         0
10         0
10         1
10         0
100         16
100         330
100         162
100         20
100         21
100         106
100         24
100         22
100         19
100         20
100         19
100         21
100         22
100         26
100         23
100         22
100         23
100         19
100         19
100         19
100         19
100         19
100         23
100         17
100         18
100         19
100         19
100         21
100         21
100         19
100         19
100         19
100         19
100         20
100         20
100         20
100         20
100         19
100         20
100         20
100         20
100         21
100         20
100         19
100         19
100         21
100         22
100         19
100         19
100         19
100         18
100         10
100         13
100         11
100         9
100         19
100         20
100         14
100         12
100         19
100         12
100         18
100         9
100         15
100         14
100         10
100         8
100         7
100         8
100         18
100         7
100         11
100         10
100         15
100         23
100         15
100         11
100         7
100         8
100         9
100         12
100         16
100         13
100         16
100         12
100         12
100         9
100         9
100         12
100         7
100         16
100         18
100         9
100         18
100         17
100         13
100         6
100         6
100         6
100         7
1000         206
1000         240
1000         262
1000         409
1000         246
1000         234
1000         222
1000         234
1000         230
1000         212
1000         219
1000         390
1000         318
1000         401
1000         502
1000         1182
1000         176
1000         202
1000         554
1000         4064
1000         414
1000         363
1000         429
1000         260
1000         324
1000         263
1000         454
1000         263
1000         367
1000         381
1000         387
1000         458
1000         222
1000         290
1000         433
1000         424
1000         369
1000         289
1000         245
1000         213
1000         218
1000         219
1000         248
1000         214
1000         367
1000         266
1000         227
1000         316
1000         281
1000         283
1000         176
1000         171
1000         188
1000         166
1000         178
1000         165
1000         170
1000         169
1000         190
1000         160
1000         172
1000         160
1000         163
1000         162
1000         172
1000         165
1000         154
1000         154
1000         163
1000         175
1000         149
1000         154
1000         171
1000         158
1000         169
1000         151
1000         151
1000         204
1000         149
1000         148
1000         172
1000         151
1000         150
1000         164
1000         159
1000         147
1000         145
1000         143
1000         148
1000         158
1000         143
1000         146
1000         126
1000         120
1000         121
1000         122
1000         124
1000         125
1000         127
1000         122
10000         3809
10000         1293
10000         5610
10000         1553
10000         1332
10000         1271
10000         1663
10000         7389
10000         1514
10000         1256
10000         1552
10000         1305
10000         1331
10000         1295
10000         1635
10000         1328
10000         1293
10000         1299
10000         1365
10000         1441
10000         1323
10000         1462
10000         1299
10000         1375
10000         1460
10000         1412
10000         1405
10000         1340
10000         1356
10000         1391
10000         1326
10000         1446
10000         1587
10000         1516
10000         1704
10000         1340
10000         1408
10000         1400
10000         1418
10000         1316
10000         1357
10000         1358
10000         1311
10000         1322
10000         1405
10000         1813
10000         2142
10000         1768
10000         1960
10000         1933
10000         1785
10000         2022
10000         1368
10000         1326
10000         1397
10000         1322
10000         1348
10000         1392
10000         1404
10000         1344
10000         1328
10000         1406
10000         1404
10000         1680
10000         1836
10000         2159
10000         1593
10000         2360
10000         2251
10000         1446
10000         2744
10000         1342
10000         1408
10000         1308
10000         1297
10000         1289
10000         1502
10000         1280
10000         1313
10000         1338
10000         1291
10000         1337
10000         1274
10000         1285
10000         1311
10000         1322
10000         1380
10000         1310
10000         1694
10000         1397
10000         1302
10000         1300
10000         2220
10000         1356
10000         1812
10000         1453
10000         1285
10000         1315
10000         1379
10000         1302
100000         30944
100000         35147
100000         30139
100000         21931
100000         16303
100000         18509
100000         16230
100000         28541
100000         22865
100000         30542
100000         22480
100000         36020
100000         20169
100000         16958
100000         16131
100000         33806
100000         24766
100000         16620
100000         29532
100000         16846
100000         16594
100000         16739
100000         17906
100000         20977
100000         16515
100000         16559
100000         19365
100000         17125
100000         16321
100000         17803
100000         17043
100000         17035
100000         21026
100000         19405
100000         30375
100000         25546
100000         21170
100000         19735
100000         16286
100000         25640
100000         21606
100000         17374
100000         16233
100000         16158
100000         16467
100000         19195
100000         17074
100000         16561
100000         20124
100000         16664
100000         19564
100000         16043
100000         20738
100000         16235
100000         29706
100000         17784
100000         20138
100000         16234
100000         15994
100000         16151
100000         18680
100000         16642
100000         16554
100000         16535
100000         22253
100000         18338
100000         18442
100000         24091
100000         15999
100000         18433
100000         16269
100000         16940
100000         17262
100000         16187
100000         32025
100000         36969
100000         26793
100000         31621
100000         15972
100000         16464
100000         22451
100000         27976
100000         16714
100000         16624
100000         24648
100000         33165
100000         20383
100000         21857
100000         22981
100000         16668
100000         20087
100000         19588
100000         17180
100000         16283
100000         16567
100000         19036
100000         22923
100000         28887
100000         25056
100000         16182
